Name,Symbol,Atomic_Number,Atomic_Weight,Density,Melting_Point,Boiling_Point,Phase,Absolute_Melting_Point,Absolute_Boiling_Point,Critical_Pressure,Critical_Temperature,Heat_of_Fusion,Heat_of_Vaporization,Heat_of_Combustion,Specific_Heat,Adiabatic_Index,Neel_Point,Thermal_Conductivity,Thermal_Expansion,Density_Liquid,Molar_Volume,Brinell_Hardness,Mohs_Hardness,Vickers_Hardness,Bulk_Modulus,Shear_Modulus,Young_Modulus,Poisson_Ratio,Refractive_Index,Speed_of_Sound,Valence,Electronegativity,ElectronAffinity,Autoignition_Point,Flashpoint,DOT_Hazard_Class,DOT_Numbers,EU_Number,NFPA_Fire_Rating,NFPA_Health_Rating,NFPA_Reactivity_Rating,RTECS_Number,Alternate_Names,Block,Group,Period,Electron_Configuration,Color,Gas_phase,CAS_Number,CID_Number,Gmelin_Number,NSC_Number,Electrical_Type,Electrical_Conductivity,Resistivity,Superconducting_Point,Magnetic_Type,Curie_Point,Mass_Magnetic_Susceptibility,Molar_Magnetic_Susceptibility,Volume_Magnetic_Susceptibility,Percent_in_Universe,Percent_in_Sun,Percent_in_Meteorites,Percent_in_Earths_Crust,Percent_in_Oceans,Percent_in_Humans,Atomic_Radius,Covalent_Radius,Van_der_Waals_Radius,Space_Group_Name,Space_Group_Number,HalfLife,Lifetime,Decay_Mode,Quantum_Numbers,Neutron_Cross_Section,Neutron_Mass_Absorption,Graph.Period,Graph.Group
Sodium,Na,11,22.98977,968,370.87,1156.15,Solid,370.87,1156,20700000,2573,2.6,97.7,,705,,,140,0.00007,927,0.0000240,690000,500000,,6300000000.00000,3300000000.00000,10000000000,,,3200,1,0.93,52.8,388.15,277.15,4.3,1428,EU231-132-9,3,3,2,,Natrium,s,1,3,[Ne]3s23p4,Silver,,CAS7440-23-5,CID923,Gmelin563,,Conductor,21000000.00000,0.00000,,Paramagnetic,,0.00000,0.000000,0.00001,0.002,0.004,0.55,2.3,1.1,0.14,0.00000,0.000000,0.000000,Im_3m,229,Inf,Inf,,2S1/2,0.53,0.00069999999999999999,3,1
Strontium,Sr,38,87.62,2630,1050.15,1655.15,Solid,1050,1655,,,8,137,,,,,35,0.000023,6980,0.00003300,,1500000,,,6100000000.00000,,0.28,,,2,0.95,5.03,,,4.2,1383,EU231-133-4,,,,,,s,2,5,[Rn]5f146d107s27p3,Silver,,CAS7440-24-6,CID104798,Gmelin16302,,Conductor,7700000,0.00000,,Paramagnetic,,-0.00000,-0.000000,-0.000007,0.00000400000000000000,0.00000500000000000000,0.00087,0.036,0.00081,0.00046,0.000000,0.000000,,Fm_3m,225,Inf,Inf,,1,1.2,0.00050000000000000001,5,2
Sulfur,S,16,32.065,1960,388.36,717.87,Solid,388.36,717.87,,1314,1.73,9.8,,127,,,0.205,,1819,0.0000160,,2000000,,7700000000.00000,,,,1.001111,,6,2.58,200,,,,,,,,,RTECSOF7525000,Sulphur,p,16,3,[Xe]4f145d106s26p2,Yellow,,CAS7704-34-9,,,,Insulator,0,1000000000000000,,Diamagnetic,,-0.00000,-0.000000,-0.000012,0.05,0.04,4,0.042,0.093,0.2,0.00000,0.000000,0.00000,Fddd,70,Inf,Inf,,3P2,0.52,0.00055,3,16
Tantalum,Ta,73,180.9479,16650,3290.15,5731.15,Solid,3290,5731,,,36,735,,,,,57,0.00001,15000,0.000011000,800000000,6500000,873000000.000000,200000000000,69000000000.00000,186000000000.000000,0.34,,3400,5,1.5,31,,,4.1,3089,EU231-135-5,,,,,,d,5,6,[Rn]5f146d67s2,Gray,,CAS7440-25-7,CID23956,Gmelin16312,,Conductor,7700000,0.00000,4.47,,,0.000000,0.0000000,0.0001780,0,,0.00000200000000000000,0.00017,0,,0,0.000000,,Im_3m,229,Inf,Inf,,4F3/2,20.5,0.0041,6,5
Technetium,Tc,43,98,11500,2430.15,4538.15,Solid,2430,4538,,,23,550,,182,,,51,,,0.0000090,,,,,,,,,,7,1.9,53,,,,,,,,,,,d,7,5,[Xe]4f76s2,Silver,,CAS7440-26-8,,,,Conductor,5000000,0,7.8,,,0.000000,0.0000000,0.0003930,,0,0,0,0,0,0.000000,0.000000,,P63/mmc,194,129944800000000.0000000000,189870800000000.0000000000,BetaDecay,6S5/2,22,,5,7
Tellurium,Te,52,127.6,6240,722.66,1261.15,Solid,722.66,1261,4898000,,17.5,48,,520.33,,,3,,5700,0.00002000,180000000.00000,2250000,,65000000000.00000,16000000000.00000,43000000000.00000,,1.000991,2610,6,2.1,190.2,613.15,,6.1,2811,EU236-813-4,0,2,0,RTECSCF2300000,,p,16,5,[Ne]3s23p6,Silver,,CAS13494-80-9,CID6327182,Gmelin1153,NSC8956,Semiconductor,10000,0.0001,,Diamagnetic,,-0.00000,-0.000000,-0.000024,0.00000100000000000000,,0.00021,0.00000,,,0.000000,0.000000,0.000000,P3121,152,Inf,Inf,,3P2,5.4,0.0013,5,16
Terbium,Tb,65,158.92534,8219,1629.15,3503.15,Solid,1629,3503,,,10.8,295,,,,230,11,0.000010,7650,0.00001900,677000000.000000,,863000000.000000,38700000000.000000,22000000000.00000,56000000000.00000,0.26,,2620,3,,50,,,,,EU231-137-6,,,,,,f,,6,[Rn]5f76d17s2,Silver,,CAS7440-27-9,CID23958,Gmelin16311,,Conductor,830000,0.00000,,Paramagnetic,222,0.000014,0.0000020000,0.1117780,0,0,0.00000,0.00009,0.00000,,0.000000,,,P63/mmc,194,Inf,Inf,,6H15/2,23,0.009,8.5,11
Thallium,Tl,81,204.3833,11850,577.15,1746.15,Solid,577,1746,227000,,4.2,165,,5193.1,,,46,0.000030,11220,0.000017000,26400000,1200000,,43000000000.00000,2800000000.00000,8000000000,0.45,,818,3,1.62,19.2,,,,1707,EU231-138-1,,,,RTECSMH6520000,,p,13,6,2,Silver,,CAS7440-28-0,CID105005,Gmelin16308,,Conductor,6700000,0.00000,2.38,Diamagnetic,,-0,-0.000000,-0.000036,0,0,0.00001,0.00005,0,,0.000000,0.000000,0.000000,P63/mmc,194,Inf,Inf,,2P1/2,3.4,0.00059999999999999995,6,13
Thorium,Th,90,232.0381,11724,2023.15,5093.15,Solid,2023,5093,,,16,530,,132,,,54,0.00001,,0.000020000,400000000,3000000,350000000.00000,54000000000.00000,31000000000.00000,79000000000.00000,0.27,,2490,4,1.3,,403.15,,7,2975,EU231-139-7,,,,RTECSYO7175000,,f,,7,[Xe]4f145d46s2,Silver,,CAS7440-29-1,CID23960,Gmelin16314,,Conductor,6700000,0.00000,1.38,,,0.00000,0.000000,0.000062,0,0,0.00000,0.00059999999999999995,0,0,,,,Fm_3m,225,443452400000000000.0000000000,639788900000000000.0000000000,AlphaEmission,3F2,7.4,0.001,9.5,4
Thulium,Tm,69,168.93421,9321,1818.15,2223.15,Solid,1818,2223,,,16.8,250,,,,56,17,0.000013,8560,0.00001800,471000000.000000,,520000000.00000,45000000000.00000,31000000000.00000,74000000000.00000,0.21,,,3,1.25,50,,,4.1,3089,EU231-140-2,,,,,,f,,6,[Rn]5f147s2,Silver,,CAS7440-30-4,CID23961,Gmelin16307,,Conductor,1400000,0.00000100000000000000,,Paramagnetic,25,0.000002,0.000000000,0.0185490,0,0,0.00000,0.00005,0,,0.000000,,,P63/mmc,194,Inf,Inf,,2F7/2,105,0.025,8.5,15
Tin,Sn,50,118.71,7310,505.08,2875.15,Solid,505.08,2875,,,7,290,,769.7,,,67,0.00002,6990,0.00001600,51000000.00000,1500000,,58000000000.00000,18000000000.00000,50000000000,0.36,,2500,4,1.96,107.3,903.15,,,,EU231-141-8,3,1,3,RTECSTH3500000,Stannum,p,14,5,[Ne]3s23p3,Silver,,CAS7440-31-5,CID5352426,Gmelin16300,,Conductor,9100000,0.00000,3.72,Paramagnetic,,-0.00000,-0.000000,-0.000023,0,0.00000100000000000000,0.00012,0.00022,0,0.00002000000000000000,0.000000,0.000000,0.000000,I41/amd,141,Inf,Inf,,3,0.63,0.00020000000000000001,5,14
Titanium,Ti,22,47.867,4507,1941.15,3560.15,Solid,1941,3560,,,18.7,425,,99.1,,,22,0.00001,4110,0.00001100,716000000.000000,6000000,970000000.00000,110000000000.00000,44000000000.00000,116000000000.000000,0.32,,4140,4,1.54,7.6,523.15,,4.2,2546,EU231-142-3,1,1,2,,,d,4,4,[Rn]5f26d17s2,Silver,,CAS7440-32-6,CID114942,Gmelin16313,,Conductor,2500000,0,0.4,Paramagnetic,,0.000000,0.0000000,0.0001810,0.00029999999999999997,0.00040000000000000002,0.054,0.66,0,,0.000000,0.000000,,P63/mmc,194,Inf,Inf,,3F2,6.1,0.0044,4,4
Tungsten,W,74,183.84,19250,3695.15,5828.15,Solid,3695,5828,,,35,800,,207,,,170,0.00001,17600,0.00001000,2570000000.000000,7500000,3430000000.000000,310000000000.00000,161000000000.000000,411000000000.000000,0.28,,5174,6,2.36,78.6,,,4.1,3089,EU231-143-9,2,1,1,,Wolfram,d,6,6,[Kr]4d105s25p3,Gray,,CAS7440-33-7,CID23964,Gmelin16317,,Conductor,20000000,0,0.015,Paramagnetic,,0.00000,0.000000,0.000075,0,0,0.00001,0.00011,0.00000,,0.000000,0.000000,,Im_3m,229,Inf,Inf,,5,18.4,0.0036,6,6
Ununbium,Uub,112,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,12,7,[Rn]5f146d57s2,,,CAS54084-26-3,,,,,,,,,,,,,,0,0,0,0,0,,,,,,40,58.3,AlphaEmission,1,,,7,12
Ununhexium,Uuh,116,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,16,7,[Rn]5f146d107s27p1,,,CAS54100-71-9,,,,,,,,,,,,,,0,0,0,0,0,,,,,,0.12,0.173,AlphaEmission,3P2,,,7,16
Ununoctium,Uuo,118,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,18,7,[Rn]5f146d107s27p4,,,CAS54144-19-3,,,,,,,,,,,,,,0,0,0,0,0,,,,,,0.005,0.007,AlphaEmission,1,,,7,18
Ununpentium,Uup,115,288,,,,,,,11700000,,,,,429,,,,,,,,,,,,,,,,,,,,,,,,,,,RTECSNN1575000,,p,15,7,[Kr]4d105s25p5,,,CAS54085-64-2,,,,,,,,,,,,,,0,0,0,0,0,,,,,,1,1.5,AlphaEmission,4S3/2,,,7,15
Ununquadium,Uuq,114,289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,14,7,[Rn]5f146d97s1,,,CAS54085-16-4,,,,,,,,,,,,,,0,0,0,0,0,,,,,,1.33,2,AlphaEmission,3,,,7,14
Ununseptium,Uus,117,,,,,,,,,,,,,205,,,,,,,,,,,,,,,,,,,,,,,,,,,RTECSCQ8370000,,p,17,7,[Xe]6s2,,,CAS87658-56-8,,,,,,,,,,,,,,0,0,0,0,0,,,,,,0.05,0.072,,2P3/2,,,7,17
Ununtrium,Uut,113,284,,,,,,,,,,,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,RTECSXP7320000,,p,13,7,[Kr]4d105s25p2,,,CAS54084-70-7,,,,,,,,,,,,,,0,0,0,0,0,,,,,,20,28.3,AlphaEmission,2P1/2,,,7,13
Uranium,U,92,238.02891,19050,1408.15,4200.15,Solid,1408,4200,,,14,420,,131,,,27,0.000014,17300,0.00001200,2400000000.00000,6000000,1960000000.000000,100000000000,111000000000.000000,208000000000.000000,0.23,,3155,6,1.38,,,,7,2979,EU231-170-6,,,,,,f,,7,[Xe]4f145d76s2,Silver,,CAS7440-61-1,CID23989,Gmelin16315,,Conductor,3600000,0.00000,0.68,,,0.000000,0.0000000,0.0004100,0,0,0.00000,0.00018,0.00000,0,,,0.000000,Cmcm,63,141015340000000000.00000000000,203426692000000000.000000000000,AlphaEmission,5L6,7.57,0.00050000000000000001,9.5,6
Vanadium,V,23,50.9415,6110,2183.15,3680.15,Solid,2183,3680,27200000,,22.8,453,,321.2,,,31,0.00001,5500,0.00000800,628000000.000000,7000000,628000000.000000,160000000000.00000,47000000000.00000,128000000000.000000,0.37,,4560,5,1.63,50.6,,,4.1,3089,EU231-171-1,1,2,0,RTECSVS7700000,,d,5,4,[Ar]3d104s24p4,Silver,,CAS7440-62-2,CID23990,Gmelin49047,,Conductor,5000000,0,5.4,,,0.000000,0.0000000,0.0003840,0.0001,0.00004000000000000000,0.0061,0.019,0.00000,0.00000300000000000000,0.000000,0.000000,,Im_3m,229,Inf,Inf,,4F3/2,5.06,0.0033,4,5
Xenon,Xe,54,131.293,5.9,161.35,165.15,Gas,161.3,165.1,,289.77,2.3,12.64,,567,1/?,,0.00565,,,0.0223,,,,,,,,1.000702,1090,6,2.6,0,,,2.2,2591,EU231-172-7,,,,,,p,18,5,[Ar]3d14s2,Colorless,Monoatomic,CAS7440-63-3,CID23991,Gmelin1125,,,,,,Diamagnetic,,-0.00000,-0.000000,-0.000000,0.00000100000000000000,,,0,0,,0.000000,0.00000,0.000000,Fm_3m,225,Inf,Inf,,1,25,0.0083,5,18
Ytterbium,Yb,70,173.04,6570,1092.15,1469.15,Solid,1092,1469,,,7.7,160,,240,,,39,0.000026,6210,0.00002600,343000000.000000,,206000000.000000,31000000000.00000,9900000000.00000,24000000000.00000,0.21,,1590,3,,50,,,,,EU231-173-2,,,,RTECSVI9069000,,f,,6,[Kr]4d85s1,Silver,,CAS7440-64-4,CID23992,Gmelin16014,,Conductor,3600000,0.00000,,,,0.00000,0.000000,0.000039,0,0,0.00002,0.00028,0,,0.000000,,,Fm_3m,225,Inf,Inf,,1,35,0.0076,8.5,16
Yttrium,Y,39,88.90585,4472,1799.15,3618.15,Solid,1799,3618,,,11.4,380,,192,,,17,0.000011,4240,0.00002000,589000000.000000,,,41000000000.00000,26000000000.00000,64000000000.00000,0.24,,3300,3,1.22,29.6,,,4.1,3089,EU231-174-8,2,,,RTECSFK4850000,,d,3,5,[Xe]4f15d16s2,Silver,,CAS7440-65-5,CID23993,Gmelin16319,,Conductor,1800000,0.00000,1.3,,,0.000000,0.0000000,0.0002980,0.00000100000000000000,0.00000100000000000000,0.00019,0.0029,0.00000,,0.000000,0.000000,,P63/mmc,194,Inf,Inf,,2D3/2,1.28,0.00059999999999999995,5,3
Zinc,Zn,30,65.409,7140,692.68,1180.15,Solid,692.68,1180,,,7.35,119,,,,,120,0.000030,6570,0.0000090,412000000.000000,2500000,,70000000000,43000000000.00000,108000000000.000000,0.25,1.00205,3700,2,1.65,0,733.15,,4.3,1436,EU231-175-3,0,2,0,,,d,12,4,[Rn]5f147s27p1,SlateGray,,CAS7440-66-6,CID23994,Gmelin16321,,Conductor,17000000.00000,0.00000,0.85,Diamagnetic,,-0.000000,-0.000000,-0.000016,0.00003000000000000000,0.00020000000000000001,0.018,0.0078,0,0.0033,0.000000,0.000000,0.000000,P63/mmc,194,Inf,Inf,,1,1.1,0.00055,4,12
Zirconium,Zr,40,91.224,6511,2128.15,4682.15,Solid,2128,4682,,,21,580,,193,,,23,0.00001,5800,0.00001400,650000000.00000,5000000,903000000.000000,,33000000000.00000,68000000000.00000,0.34,,3800,4,1.33,41.1,,,4.2,2008,EU231-176-9,1,1,0,,,d,4,5,[Xe]4f36s2,Silver,,CAS7440-67-7,CID23995,Gmelin16322,,Conductor,2400000,0.00000,0.61,Paramagnetic,,0.000000,0.0000000,0.0001080,0.00000500000000000000,0.00000400000000000000,0.00066,0.013,0.00000,0.00000500000000000000,0.000000,0.000000,,P63/mmc,194,Inf,Inf,,3F2,0.184,0.00066,5,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

