Name,Symbol,Atomic_Number,Atomic_Weight,Density,Melting_Point,Boiling_Point,Phase,Absolute_Melting_Point,Absolute_Boiling_Point,Critical_Pressure,Critical_Temperature,Heat_of_Fusion,Heat_of_Vaporization,Heat_of_Combustion,Specific_Heat,Adiabatic_Index,Neel_Point,Thermal_Conductivity,Thermal_Expansion,Density_Liquid,Molar_Volume,Brinell_Hardness,Mohs_Hardness,Vickers_Hardness,Bulk_Modulus,Shear_Modulus,Young_Modulus,Poisson_Ratio,Refractive_Index,Speed_of_Sound,Valence,Electronegativity,ElectronAffinity,Autoignition_Point,Flashpoint,DOT_Hazard_Class,DOT_Numbers,EU_Number,NFPA_Fire_Rating,NFPA_Health_Rating,NFPA_Reactivity_Rating,RTECS_Number,Alternate_Names,Block,Group,Period,Electron_Configuration,Color,Gas_phase,CAS_Number,CID_Number,Gmelin_Number,NSC_Number,Electrical_Type,Electrical_Conductivity,Resistivity,Superconducting_Point,Magnetic_Type,Curie_Point,Mass_Magnetic_Susceptibility,Molar_Magnetic_Susceptibility,Volume_Magnetic_Susceptibility,Percent_in_Universe,Percent_in_Sun,Percent_in_Meteorites,Percent_in_Earths_Crust,Percent_in_Oceans,Percent_in_Humans,Atomic_Radius,Covalent_Radius,Van_der_Waals_Radius,Space_Group_Name,Space_Group_Number,HalfLife,Lifetime,Decay_Mode,Quantum_Numbers,Neutron_Cross_Section,Neutron_Mass_Absorption,Graph.Period,Graph.Group
Chromium,Cr,24,51.9961,7140,2180.15,2944.15,Solid,2180,2944,,,20.5,339,,,,393,94,0.00001,6300,0.00000700,1120000000.000000,8500000,1060000000.000000,160000000000.00000,115000000000.000000,279000000000.000000,0.21,,5940,6,1.66,64.3,673.15,,4.1,3089,EU231-157-5,1,2,1,,,d,6,4,[Rn]5f67s2,Silver,,CAS7440-47-3,CID23976,Gmelin16274,,Conductor,7900000,0.00000,,Antiferromagnetic,,0.000000,0.0000000,0.0003180,0.0015,0.002,0.3,0.014,0,0.00000300000000000000,0.000000,0.000000,,Im_3m,229,Inf,Inf,,7S3,3.1,0.0021,4,6
Cobalt,Co,27,58.9332,8900,1768.15,3200.15,Solid,1768,3200,,,16.2,375,,278,,,100,0.00001,7750,0.000007,700000000,5000000,1043000000.0000000,180000000000.00000,75000000000.00000,209000000000.000000,0.31,,4720,4,1.88,63.7,,,4.1,3089,EU231-158-0,,,,RTECSZH7070000,,d,9,4,[Kr]4d25s2,Gray,,CAS7440-48-4,CID104730,Gmelin49017,,Conductor,17000000.00000,0,,Ferromagnetic,1394,,,,0.00029999999999999997,0.00040000000000000002,0.059,0.003,0,0.00000200000000000000,0.000000,0.000000,,P63/mmc,194,Inf,Inf,,4F9/2,37.2,0.021,4,9
Copper,Cu,29,63.546,8920,1357.77,3200.15,Solid,1357.77,3200,,,13.1,300,,63,,,400,0.000017,8020,0.0000070,874000000.000000,3000000,369000000.000000,140000000000.00000,48000000000.00000,130000000000.00000,0.34,,3570,2,1.9,118.4,,,4.1,3089,EU231-159-6,1,1,0,,Cuprum,d,11,4,[Kr]4d55s2,Copper,,CAS7440-50-8,CID27099,Gmelin16269,,Conductor,59000000.00000,0.00000,,Diamagnetic,,-0.000000,-0.000000,-0.000010,0.00000600000000000000,0.00006999999999999999,0.011,0.0068,0,0.0001,0.000000,0.000000,0.00000,Fm_3m,225,Inf,Inf,,2S1/2,3.78,0.0021,4,11
Curium,Cm,96,247,13510,1618.15,3383.15,Solid,1618,3383,,,,,,122,,,,,,0.000018000,,,,,,,,,,4,1.3,,,,,,,,,,RTECSEB2600000,,f,,7,[Xe]4f145d106s26p3,Silver,,CAS7440-51-9,,,,,,,,,,,,,,0,0,0,0,0,,,,P63/mmc,194,492024000000000.000000000,709650000000000.00000000,AlphaEmission,9D2,60,,9.5,10
Darmstadtium,Ds,110,281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,10,7,[Rn]5f146d27s2,,,CAS54083-77-1,,,,,,,,,,,,,,0,0,0,0,0,,,,,,4,5.833,AlphaEmission,3D3,,,7,10
Dubnium,Db,105,262,,,,,,,,,,,,300,,,,,,,,,,,,,,,,5,,,,,,,,,,,RTECSWK7849000,,d,5,7,[Kr]5s2,,,CAS53850-35-4,,,,,,,,,,,,,,0,0,0,0,0,,,,,,20016,29988,AlphaEmission,4F3/2,,,7,5
Dysprosium,Dy,66,162.5,8551,1685.15,2840.15,Solid,1685,2840,,,11.1,280,,298,,178,11,0.00001,8370,0.00001900,500000000,,540000000.00000,41000000000.00000,25000000000.00000,61000000000.00000,0.25,,2710,3,1.22,50,,,,,EU231-073-9,,,,RTECSZG2980000,,f,,6,[Kr]4d15s2,Silver,,CAS7429-91-6,CID23912,Gmelin16278,,Conductor,1100000,0.00000,,Paramagnetic,87,0.000005,0.000001000,0.046603,0,0,0.00003,0.00062,0.00000,,0.000000,,,P63/mmc,194,Inf,Inf,,5I8,1010,0.2,8.5,12
Einsteinium,Es,99,252,,1133.15,,Solid,1133,,,,,,,384.4,,,,,,,,,,,,,,,,4,1.3,,,,,,,,,,RTECSGL5325000,,f,,7,[Ar]3d104s1,,,CAS7429-92-7,,,,,,,,,,,,,,0,0,0,0,0,,,,,,40755988,58822100,AlphaEmission,5I15/2,160,,9.5,13
Erbium,Er,68,167.259,9066,1770.15,3141.15,Solid,1770,3141,,,19.9,285,,251,,82,15,0.000012,8860,0.00001800,814000000.000000,,589000000.000000,44000000000.00000,28000000000.00000,70000000000,0.24,,2830,3,1.24,50,,,,,EU231-160-1,,,,RTECSQA4680000,,f,,6,[Kr]4d55s1,Silver,,CAS7440-52-0,CID23980,Gmelin16280,,Conductor,1200000,0.00000,,Paramagnetic,32,0.000004,0.000001000,0.0341790,0,0,0.00002,0.00029999999999999997,0,,0.000000,,,P63/mmc,194,Inf,Inf,,3H6,165,0.036,8.5,14
Europium,Eu,63,151.964,5244,1095.15,1800.15,Solid,1095,1800,,,9.2,175,,,,90.5,14,0.00003,5130,0.00002900,,,167000000.000000,8300000000.00000,7900000000.00000,18000000000.00000,0.15,,,3,,50,,,,,EU231-161-7,,,,,,f,,6,[Rn]5f46d17s2,Silver,,CAS7440-53-1,CID23981,Gmelin15985,,Conductor,1100000,0.00000100000000000000,,Paramagnetic,,0.000000,0.00000000,0.0014470,0,0,0.00001,0.00018,0.00000,,0.000000,,,Im_3m,229,Inf,Inf,,8S7/2,4450,0.6,8.5,9
